ID_ND	Database	PubMLST_id	NCBI_assembly_accession	Species	Isolate.Name	Aliases	Country	Continent	Region	Source	Year	Source_harmonized
ND_PM1045	PubMLST	3441	GCA_022358515.1	Cronobacter sakazakii	FDA1033053-S021-001	PDT001252490.1	USA	North America	MI	Environmental	2022	Environmental Samples
ND_PM1046	PubMLST	3442	GCA_022358455.1	Cronobacter sakazakii	FDA1033053-S025-002	PDT001252476.1	USA	North America	MI	Environmental	2022	Environmental Samples
ND_PM1047	PubMLST	3443		Cronobacter sakazakii	2022N-4005	PDT001268185.1; SRS12265753	USA	North America		Clinical	2022	Clinical and Medical Samples
ND_PM1049	PubMLST	3445	GCA_022622755.1	Cronobacter sakazakii	2021EL-1004a	2022EL-1004; PDT001268189.1; SRS12265757	USA	North America	KS	Environmental	2022	Environmental Samples
ND_PM1050	PubMLST	3446	GCA_022622735.1	Cronobacter sakazakii	2021N-4011	PDT001268186.1	USA	North America		Clinical	2021	Clinical and Medical Samples
ND_PM1051	PubMLST	3447	GCA_022605365.1	Cronobacter sakazakii	2021EL-1052a	2021EL-1052; PDT001268187.1; SRS12265755	USA	North America		Powdered infant formula	2021	Food and Food Ingredients
ND_PM1052	PubMLST	3448	GCA_022622775.1	Cronobacter sakazakii	2021EL-1051a	2021EL-1051; PDT001268188.1; SRS12265756	USA	North America	MN	Water	2021	Food and Food Ingredients
ND_PM1053	PubMLST	3449	GCA_022622715.1	Cronobacter sakazakii	2021EL-1053a	2021EL-1053; PDT001268190.1; SRS12265758	USA	North America	MN	Powdered infant formula	2021	Food and Food Ingredients
ND_PM1054	PubMLST	3450		Cronobacter sakazakii	FDA1140503-S022-004	PDT001269735.1	USA	North America	WI	Environmental	2022	Environmental Samples
ND_PM1056	PubMLST	3452		Cronobacter sakazakii	FDA1140503-S022-003	PDT001269734.1	USA	North America	WI	Environmental	2022	Environmental Samples
ND_PM1057	PubMLST	3453		Cronobacter sakazakii	FDA1140503-S022-006	PDT001269736.1	USA	North America	WI	Environmental	2022	Environmental Samples
ND_PM1059	PubMLST	3455		Cronobacter sakazakii	FDA1140503-S022-001	PDT001269740.1	USA	North America	WI	Environmental	2022	Environmental Samples
ND_PM1060	PubMLST	3456	GCA_022607185.1	Cronobacter sakazakii	wls2695	Cs_057	Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM1061	PubMLST	3457	GCA_022607205.1	Cronobacter sakazakii	wls2699	Cs_058	Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM1062	PubMLST	3458	GCA_022607225.1	Cronobacter sakazakii	wls2694	Cs_056	Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM1063	PubMLST	3459	GCA_022607245.1	Cronobacter sakazakii	wls2261	Cs_053; G4084	Singapore	Asia		Food ingredient	Unknown	Food and Food Ingredients
ND_PM1064	PubMLST	3460	GCA_022607295.1	Cronobacter sakazakii	wls2258	Cs_050; G4079	Singapore	Asia		Milk powder	Unknown	Food and Food Ingredients
ND_PM1065	PubMLST	3461	GCA_022607285.1	Cronobacter sakazakii	wls2260	Cs_052; G4082	Argentina	South America		Food ingredient	Unknown	Food and Food Ingredients
ND_PM1066	PubMLST	3462	GCA_022607345.1	Cronobacter sakazakii	wls2693	Cs_055	Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM1067	PubMLST	3463	GCA_022607365.1	Cronobacter sakazakii	wls2243	Cs_038; G4047	New Zealand	Oceania		Food	Unknown	Food and Food Ingredients
ND_PM1068	PubMLST	3464	GCA_022607395.1	Cronobacter sakazakii	wls2241	Cs_036; G4041	Australia	Oceania		Milk powder	Unknown	Food and Food Ingredients
ND_PM1069	PubMLST	3465	GCA_022607445.1	Cronobacter sakazakii	wls2231	Cs_033; G4023	Germany	Europe		Food	Unknown	Food and Food Ingredients
ND_PM1070	PubMLST	3466	GCA_022607475.1	Cronobacter sakazakii	wls2225	Cs_030; G3976	China	Asia		Food	Unknown	Food and Food Ingredients
ND_PM1072	PubMLST	3468	GCA_022607645.1	Cronobacter sakazakii	wls2208	Cs_019	Unknown	Unknown			Unknown	Unknown and Unclassified Sources
ND_PM1074	PubMLST	3470	GCA_022607685.1	Cronobacter sakazakii	wls2204	Cs_017; G4078	Singapore	Asia		Milk powder	Unknown	Food and Food Ingredients
